what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1417871591613
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1417871591622
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1417871591627
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1417871591639
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1417871591648
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1417871591649
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1417871591649
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1417871591653
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1417871591653
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1417871591665
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1417871591666
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1417871591690
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1417871591696
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1417871591703
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1417871591715
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1417871591724
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1417871591736
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1417871591744
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1417871591755
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1417871591764
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1417871591779
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1417871591785
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1417871591796
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1417871591805
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1417871591806
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1417871591806
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1417871591807
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1417871591818
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1417871591846
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1417871591847
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1417871591852
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1417871591863
os,sysinfo,,,"macosx",1417871591866
arch,sysinfo,,,"x86_64",1417871591866
ws,sysinfo,,,"cocoa",1417871591866
locale,sysinfo,,,"en_US",1417871591866
processors,sysinfo,,,"4",1417871591866
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1417871591866
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1417871591866
java.specification.name,sysinfo,,,"Java Platform API Specification",1417871591866
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1417871591866
java.specification.version,sysinfo,,,"1.6",1417871591866
java.vendor,sysinfo,,,"Apple Inc.",1417871591866
java.version,sysinfo,,,"1.6.0_65",1417871591866
java.vm.info,sysinfo,,,"mixed mode",1417871591866
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1417871591866
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1417871591866
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1417871591866
java.vm.specification.version,sysinfo,,,"1.0",1417871591866
java.vm.vendor,sysinfo,,,"Apple Inc.",1417871591866
java.vm.version,sysinfo,,,"20.65-b04-466.1",1417871591866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871593228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871629824
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1417871642193
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1417871642618
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1417871642711
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1417871643046
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1417871643301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417871644621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417871645642
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1417871655098
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1417871655427
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1417871655509
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1417871666036
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417871666100
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417871666387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871667013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1417871667123
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1417871667515
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1417871667779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417871688052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1417871695346
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417871698446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871698951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871701671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417871719055
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1417871721268
error,log,,,"Errors occurred during the build.",1417871721551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871721649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871723610
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1417871724947
error,log,,,"Errors occurred during the build.",1417871725193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871725248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871732964
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1417871736147
error,log,,,"Errors occurred during the build.",1417871736395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871736455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871737793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871744147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871745648
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1417871745740
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1417871753112
error,log,,,"Errors occurred during the build.",1417871753323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871753403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871756432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871757404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871757669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871758169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871758254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871758329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871758423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871758522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871758583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871758667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417871758763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417871760148
