what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871977527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417871988526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872007704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872027002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872039644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872166669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872182715
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1417872186501
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872190126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872216849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872220020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872230709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872250898
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1417872272906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872287423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872288934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872307241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872331993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872334467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872336395
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1417872340112
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1417872340295
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1417872340325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872340353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872340754
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1417872340833
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1417872340862
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1417872340925
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1417872341581
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1417872341607
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1417872341626
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417872346186
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417872367525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417872369661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417872377443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872378501
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417872388255
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417872416416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872437178
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417872439734
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417872466585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1417872468617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417872469841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417872470294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417872475232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417872475545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417872475860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417872476837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417872477310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417872478337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417872479058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872480539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417872547202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417872555135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1417872556609
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.indent",1417872557141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872558204
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417872561835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872575250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872581160
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1417872586022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1417872586925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417872587396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872588763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872645366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872655777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872660407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1417872666425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417872666870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872668181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872902954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417872926900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1417872927778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417872928199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417872929795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417881405982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417881407141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417881999885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882001641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882268283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882268959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882281956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882282483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882288337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882290679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882311957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882312463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882355355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882356523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882392145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882392805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882511094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417882512661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417886810023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417886816352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417887102320
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417887103611
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1417887108410
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1417887108410
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1417887108410
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1417887108411
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1417887108411
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1417887108474
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1417887108474
